Date,Open,High,Low,Close,Adj Close,Volume
2022-03-16,3107.669922,3177.790039,3023.300049,3170.709961,3170.709961,444700
2022-03-17,3215.010010,3260.169922,3202.929932,3215.040039,3215.040039,420800
2022-03-18,3207.149902,3260.780029,3197.360107,3251.070068,3251.070068,373000
2022-03-21,3255.620117,3267.500000,3223.389893,3253.689941,3253.689941,354200
2022-03-22,3249.540039,3279.110107,3239.530029,3259.860107,3259.860107,361200
2022-03-23,3264.790039,3279.889893,3251.979980,3271.030029,3271.030029,349900
2022-03-24,3256.060059,3266.889893,3236.659912,3250.260010,3250.260010,329000
2022-03-25,3247.159912,3257.110107,3211.639893,3212.239990,3212.239990,340000
2022-03-28,3185.169922,3230.219971,3159.830078,3214.500000,3214.500000,345000
2022-03-29,3216.010010,3229.179932,3196.459961,3203.939941,3203.939941,316300
2022-03-30,3217.590088,3266.600098,3216.300049,3266.600098,3266.600098,366800
2022-03-31,3256.139893,3272.040039,3246.060059,3252.199951,3252.199951,398400
2022-04-01,3234.669922,3287.229980,3226.300049,3282.719971,3282.719971,378200
2022-04-06,3269.429932,3288.110107,3255.689941,3283.429932,3283.429932,429600
2022-04-07,3267.810059,3290.260010,3236.479980,3236.699951,3236.699951,402600
2022-04-08,3239.879883,3257.090088,3208.350098,3251.850098,3251.850098,413800
2022-04-11,3239.860107,3239.860107,3156.510010,3167.129883,3167.129883,424200
2022-04-12,3165.120117,3214.540039,3140.899902,3213.330078,3213.330078,418300
2022-04-13,3199.800049,3225.469971,3183.530029,3186.820068,3186.820068,391200
2022-04-14,3203.629883,3240.000000,3200.229980,3225.639893,3225.639893,371200
2022-04-15,3210.699951,3229.865967,3200.133057,3211.245117,3211.245117,407800
2022-04-18,3185.939941,3204.030029,3166.979980,3195.520020,3195.520020,347400
2022-04-19,3192.090088,3207.830078,3174.709961,3194.030029,3194.030029,339900
2022-04-20,3189.889893,3191.830078,3142.050049,3151.050049,3151.050049,362000
2022-04-21,3138.429932,3160.899902,3069.679932,3079.810059,3079.810059,391900
2022-04-22,3058.399902,3105.659912,3049.360107,3086.919922,3086.919922,342000
2022-04-25,3034.270020,3043.820068,2928.510010,2928.510010,2928.510010,433600
2022-04-26,2930.449951,2957.679932,2878.260010,2886.429932,2886.429932,401600
2022-04-27,2866.820068,2959.179932,2863.649902,2958.280029,2958.280029,423100
2022-04-28,2945.810059,2991.510010,2936.790039,2975.479980,2975.479980,100
2022-04-29,2986.060059,3048.489990,2968.330078,3047.060059,3047.060059,423900
2022-05-05,3044.850098,3082.229980,3042.120117,3067.760010,3067.760010,383100
2022-05-06,3011.320068,3030.689941,2992.719971,3001.560059,3001.560059,343300
2022-05-09,2990.199951,3015.939941,2983.610107,3004.139893,3004.139893,292100
2022-05-10,2965.780029,3043.780029,2957.399902,3035.840088,3035.840088,370700
2022-05-11,3035.389893,3100.899902,3034.669922,3058.699951,3058.699951,424000
2022-05-12,3044.800049,3072.159912,3032.949951,3054.989990,3054.989990,344400
2022-05-13,3068.030029,3086.100098,3059.250000,3084.280029,3084.280029,331700
2022-05-16,3100.550049,3102.580078,3063.399902,3073.750000,3073.750000,338100
2022-05-17,3076.500000,3093.699951,3057.639893,3093.699951,3093.699951,330400
2022-05-18,3095.889893,3105.840088,3071.310059,3085.979980,3085.979980,315000
2022-05-19,3046.709961,3096.959961,3042.669922,3096.959961,3096.959961,336600
2022-05-20,3107.090088,3146.570068,3107.090088,3146.570068,3146.570068,372300
2022-05-23,3150.489990,3150.510010,3127.899902,3146.860107,3146.860107,353400
2022-05-24,3149.060059,3153.129883,3070.929932,3070.929932,3070.929932,416300
2022-05-25,3070.169922,3107.629883,3069.949951,3107.459961,3107.459961,342300
2022-05-26,3111.479980,3133.280029,3079.479980,3123.110107,3123.110107,370300
2022-05-27,3135.030029,3151.050049,3112.540039,3130.239990,3130.239990,359500
2022-05-30,3141.959961,3150.889893,3123.149902,3149.060059,3149.060059,349400
2022-05-31,3149.939941,3188.600098,3142.000000,3186.429932,3186.429932,374500
2022-06-01,3179.689941,3190.610107,3160.040039,3182.159912,3182.159912,365700
2022-06-02,3170.310059,3197.280029,3163.760010,3195.459961,3195.459961,361800
2022-06-06,3196.959961,3237.070068,3181.649902,3236.370117,3236.370117,422000
2022-06-07,3235.419922,3253.090088,3222.639893,3241.760010,3241.760010,402200
2022-06-08,3245.020020,3266.629883,3216.010010,3263.790039,3263.790039,434200
2022-06-09,3259.489990,3270.560059,3223.479980,3238.949951,3238.949951,422700
2022-06-10,3214.179932,3286.620117,3210.810059,3284.830078,3284.830078,439900
2022-06-13,3256.280029,3272.989990,3229.310059,3255.550049,3255.550049,438600
2022-06-14,3224.209961,3289.129883,3195.820068,3288.909912,3288.909912,450400
2022-06-15,3289.100098,3358.550049,3288.850098,3305.409912,3305.409912,550600
2022-06-16,3306.840088,3319.689941,3277.530029,3285.379883,3285.379883,433200
2022-06-17,3265.510010,3323.280029,3262.889893,3316.790039,3316.790039,395300
2022-06-20,3315.780029,3333.899902,3292.929932,3315.429932,3315.429932,413500
2022-06-21,3313.790039,3329.389893,3279.830078,3306.719971,3306.719971,394500
2022-06-22,3309.120117,3311.020020,3266.540039,3267.199951,3267.199951,375500
2022-06-23,3269.050049,3320.149902,3262.290039,3320.149902,3320.149902,400600
2022-06-24,3324.739990,3356.709961,3322.949951,3349.750000,3349.750000,390800
2022-06-27,3364.000000,3393.310059,3364.000000,3379.189941,3379.189941,414100
2022-06-28,3377.679932,3412.100098,3358.870117,3409.209961,3409.209961,412100
2022-06-29,3399.679932,3414.649902,3358.469971,3361.520020,3361.520020,440600
2022-06-30,3358.929932,3417.010010,3358.929932,3398.620117,3398.620117,381200
2022-07-01,3400.260010,3404.050049,3378.360107,3387.639893,3387.639893,350500
2022-07-04,3381.820068,3405.620117,3364.090088,3405.429932,3405.429932,357700
2022-07-05,3411.129883,3424.840088,3372.060059,3404.030029,3404.030029,411700
2022-07-06,3391.030029,3391.030029,3333.100098,3355.350098,3355.350098,384600
2022-07-07,3353.129883,3375.860107,3332.310059,3364.399902,3364.399902,334400
2022-07-08,3380.370117,3386.310059,3354.120117,3356.080078,3356.080078,322900
2022-07-11,3341.100098,3341.100098,3297.010010,3313.580078,3313.580078,342700
2022-07-12,3307.219971,3319.250000,3277.080078,3281.469971,3281.469971,334600
2022-07-13,3279.600098,3297.020020,3266.479980,3284.290039,3284.290039,331800
2022-07-14,3277.449951,3299.250000,3261.489990,3281.739990,3281.739990,355900
2022-07-15,3261.379883,3288.919922,3228.060059,3228.060059,3228.060059,380200
2022-07-18,3235.090088,3278.469971,3226.229980,3278.100098,3278.100098,348300
2022-07-19,3278.719971,3283.929932,3256.020020,3279.429932,3279.429932,315700
2022-07-20,3291.550049,3308.350098,3287.739990,3304.719971,3304.719971,301500
2022-07-21,3297.659912,3300.530029,3272.000000,3272.000000,3272.000000,332400
2022-07-22,3276.199951,3293.639893,3246.729980,3269.969971,3269.969971,300700
2022-07-25,3269.709961,3273.179932,3243.030029,3250.389893,3250.389893,271200
2022-07-26,3254.189941,3282.409912,3246.040039,3277.439941,3277.439941,259500
2022-07-27,3271.780029,3282.570068,3265.729980,3275.760010,3275.760010,249100
2022-07-28,3287.500000,3305.709961,3277.110107,3282.580078,3282.580078,288100
2022-07-29,3282.810059,3294.800049,3246.370117,3253.239990,3253.239990,307300
2022-08-01,3246.620117,3264.300049,3225.550049,3259.959961,3259.959961,292200
2022-08-02,3231.260010,3231.260010,3155.189941,3186.270020,3186.270020,394200
2022-08-03,3188.889893,3217.550049,3159.459961,3163.669922,3163.669922,324900
2022-08-04,3179.429932,3191.000000,3155.699951,3189.040039,3189.040039,260900
2022-08-05,3195.229980,3228.889893,3184.449951,3227.030029,3227.030029,274700
2022-08-08,3218.850098,3237.969971,3214.080078,3236.929932,3236.929932,254300
2022-08-09,3235.739990,3248.770020,3227.540039,3247.429932,3247.429932,259600
2022-08-10,3242.360107,3253.169922,3217.810059,3230.020020,3230.020020,257600
2022-08-11,3243.469971,3281.669922,3237.899902,3281.669922,3281.669922,300600
2022-08-12,3275.770020,3288.219971,3272.840088,3276.889893,3276.889893,299900
2022-08-15,3268.370117,3286.889893,3261.820068,3276.090088,3276.090088,287100
2022-08-16,3278.679932,3295.020020,3271.570068,3277.879883,3277.879883,303600
2022-08-17,3282.100098,3296.000000,3263.350098,3292.530029,3292.530029,326100
2022-08-18,3286.370117,3289.139893,3270.560059,3277.540039,3277.540039,301700
2022-08-19,3275.620117,3286.489990,3258.060059,3258.080078,3258.080078,333500
2022-08-22,3249.699951,3278.169922,3247.189941,3277.790039,3277.790039,314500
2022-08-23,3274.429932,3284.600098,3262.629883,3276.219971,3276.219971,316600
2022-08-24,3279.169922,3281.879883,3212.389893,3215.199951,3215.199951,366100
2022-08-25,3223.459961,3248.350098,3199.120117,3246.250000,3246.250000,336200
2022-08-26,3250.629883,3266.270020,3232.280029,3236.219971,3236.219971,309900
2022-08-29,3203.100098,3240.729980,3199.000000,3240.729980,3240.729980,297000
2022-08-30,3240.179932,3243.750000,3212.629883,3227.219971,3227.219971,294300
2022-08-31,3216.530029,3232.020020,3184.389893,3202.139893,3202.139893,344400
2022-09-01,3196.540039,3214.560059,3181.629883,3184.979980,3184.979980,274700
2022-09-02,3189.639893,3198.280029,3173.790039,3186.479980,3186.479980,250500
2022-09-05,3183.946045,3199.912109,3172.039063,3199.912109,3199.912109,280700
2022-09-06,3207.929932,3244.639893,3203.820068,3243.449951,3243.449951,318900
2022-09-07,3232.139893,3253.770020,3227.820068,3246.290039,3246.290039,301000
2022-09-08,3245.560059,3253.699951,3233.800049,3235.590088,3235.590088,281700
2022-09-09,3241.179932,3266.199951,3236.510010,3262.050049,3262.050049,283800
2022-09-13,3272.050049,3278.169922,3259.659912,3263.800049,3263.800049,276200
2022-09-14,3224.679932,3250.800049,3221.959961,3237.540039,3237.540039,255200
2022-09-15,3248.969971,3254.179932,3174.389893,3199.919922,3199.919922,325200
2022-09-16,3189.830078,3191.830078,3126.399902,3126.399902,3126.399902,316500
2022-09-19,3122.750000,3135.560059,3101.219971,3115.600098,3115.600098,249100
2022-09-20,3127.840088,3140.030029,3114.040039,3122.409912,3122.409912,219900
2022-09-21,3116.010010,3129.820068,3091.300049,3117.179932,3117.179932,233000
2022-09-22,3098.770020,3125.679932,3092.820068,3108.909912,3108.909912,221100
2022-09-23,3106.810059,3124.659912,3072.239990,3088.370117,3088.370117,243100
2022-09-26,3067.570068,3102.649902,3048.510010,3051.229980,3051.229980,262700
2022-09-27,3056.389893,3094.040039,3048.370117,3093.860107,3093.860107,232700
2022-09-28,3089.100098,3089.100098,3044.860107,3045.070068,3045.070068,230100
2022-09-29,3067.469971,3076.760010,3026.080078,3041.199951,3041.199951,230000
2022-09-30,3042.169922,3054.610107,3021.929932,3024.389893,3024.389893,204100
2022-10-10,3026.939941,3029.449951,2968.280029,2974.149902,2974.149902,243400
2022-10-11,2978.060059,2986.909912,2953.500000,2979.790039,2979.790039,208600
2022-10-12,2976.719971,3025.510010,2934.090088,3025.510010,3025.510010,248000
2022-10-13,3008.300049,3036.250000,3004.500000,3016.360107,3016.360107,249700
2022-10-14,3035.030029,3084.270020,3035.030029,3071.989990,3071.989990,277300
2022-10-17,3060.520020,3087.189941,3052.709961,3084.939941,3084.939941,262600
2022-10-18,3094.929932,3099.919922,3074.219971,3080.959961,3080.959961,245600
2022-10-19,3073.260010,3081.389893,3044.379883,3044.379883,3044.379883,230900
2022-10-20,3029.300049,3070.260010,3013.689941,3035.050049,3035.050049,244700
2022-10-21,3038.040039,3055.419922,3026.959961,3038.929932,3038.929932,245300
2022-10-24,3034.750000,3064.419922,2965.169922,2977.560059,2977.560059,298100
2022-10-25,2969.159912,3001.719971,2944.260010,2976.280029,2976.280029,255600
2022-10-26,2977.560059,3028.350098,2977.560059,2999.500000,2999.500000,268700
2022-10-27,3005.040039,3017.260010,2981.689941,2982.899902,2982.899902,265600
2022-10-28,2967.020020,2974.239990,2908.979980,2915.929932,2915.929932,292500
2022-10-31,2893.199951,2926.020020,2885.090088,2893.479980,2893.479980,302000
2022-11-01,2899.500000,2969.199951,2896.760010,2969.199951,2969.199951,319800
2022-11-02,2960.649902,3019.050049,2954.949951,3003.370117,3003.370117,325100
2022-11-03,2981.199951,3003.719971,2977.719971,2997.810059,2997.810059,259300
2022-11-04,2997.000000,3081.590088,2997.000000,3070.800049,3070.800049,329800
2022-11-07,3062.860107,3088.189941,3054.459961,3077.820068,3077.820068,320600
2022-11-08,3077.310059,3078.280029,3047.459961,3064.489990,3064.489990,256500
2022-11-09,3064.459961,3073.919922,3046.189941,3048.169922,3048.169922,235600
2022-11-10,3031.689941,3047.979980,3022.850098,3036.129883,3036.129883,270400
2022-11-11,3099.649902,3117.739990,3070.300049,3087.290039,3087.290039,409600
2022-11-14,3100.870117,3121.409912,3075.219971,3083.399902,3083.399902,361800
2022-11-15,3081.129883,3135.590088,3074.500000,3134.080078,3134.080078,331500
2022-11-16,3133.649902,3145.750000,3115.350098,3119.979980,3119.979980,303400
2022-11-17,3110.959961,3115.439941,3087.169922,3115.429932,3115.429932,287000
2022-11-18,3116.729980,3126.709961,3096.889893,3097.239990,3097.239990,300000
2022-11-21,3078.056885,3085.242920,3056.169922,3085.043945,3085.043945,256000
